iter	Passed	Remaining
0	1	125
1	2	117
2	3	116
3	4	116
4	6	116
5	7	114
6	8	112
7	9	111
8	10	111
9	12	111
10	13	109
11	14	108
12	15	106
13	17	105
14	18	104
15	19	103
16	20	102
17	22	100
18	23	99
19	24	98
20	25	97
21	27	96
22	28	95
23	29	94
24	31	93
25	32	92
26	33	90
27	34	89
28	36	88
29	37	87
30	38	86
31	40	85
32	41	84
33	42	83
34	44	81
35	45	80
36	46	79
37	48	78
38	49	77
39	50	76
40	52	75
41	53	73
42	54	72
43	55	71
44	57	69
45	58	68
46	59	67
47	61	66
48	62	65
49	63	63
50	65	62
51	66	61
52	68	60
53	69	59
54	71	58
55	72	56
56	73	55
57	75	54
58	76	53
59	77	51
60	79	50
61	80	49
62	82	48
63	83	46
64	84	45
65	86	44
66	87	43
67	88	41
68	90	40
69	91	39
70	92	37
71	94	36
72	95	35
73	97	34
74	98	32
75	99	31
76	101	30
77	102	28
78	103	27
79	104	26
80	106	24
81	107	23
82	108	22
83	109	20
84	111	19
85	112	18
86	113	16
87	114	15
88	116	14
89	117	13
90	118	11
91	119	10
92	121	9
93	122	7
94	123	6
95	124	5
96	126	3
97	127	2
98	128	1
99	130	0
