iter	Passed	Remaining
0	146	146603
1	148	74048
2	149	49846
3	151	37654
4	152	30334
5	153	25463
6	155	22002
7	156	19398
8	157	17372
9	159	15746
10	160	14444
11	162	13354
12	163	12408
13	164	11593
14	165	10883
15	166	10263
16	168	9717
17	169	9233
18	170	8806
19	171	8423
20	173	8072
21	174	7766
22	176	7483
23	177	7225
24	178	6978
25	180	6743
26	181	6524
27	182	6319
28	183	6131
29	184	5960
30	185	5793
31	186	5638
32	187	5495
33	188	5359
34	197	5456
35	201	5401
36	205	5345
37	208	5275
38	210	5192
39	212	5105
40	214	5020
41	216	4939
42	218	4870
43	220	4793
44	222	4716
45	223	4640
46	225	4566
47	227	4505
48	228	4435
49	229	4368
50	231	4302
51	232	4245
52	234	4182
53	235	4118
54	236	4058
55	237	4000
56	238	3943
57	239	3888
58	240	3834
59	241	3783
60	242	3730
61	243	3679
62	244	3630
63	245	3583
64	252	3631
65	257	3637
66	259	3614
67	262	3595
68	264	3573
69	266	3546
70	268	3515
71	270	3486
72	272	3457
73	274	3429
74	276	3404
75	277	3379
76	279	3349
77	281	3323
78	282	3291
79	283	3261
80	284	3231
81	286	3203
82	286	3167
83	287	3139
84	289	3112
85	290	3086
86	291	3060
87	292	3033
88	293	3006
89	294	2980
90	295	2955
91	296	2930
92	297	2904
93	298	2879
94	299	2854
95	300	2829
96	301	2805
97	306	2823
98	312	2845
99	315	2838
100	317	2827
101	320	2824
102	322	2811
103	325	2800
104	326	2786
105	328	2773
106	330	2756
107	331	2741
108	333	2728
109	335	2716
110	337	2699
111	338	2681
112	339	2664
113	340	2647
114	341	2630
115	343	2613
116	343	2595
117	344	2578
118	345	2561
119	347	2545
120	348	2529
121	349	2514
122	350	2500
123	351	2484
124	352	2468
125	353	2452
126	354	2435
127	355	2419
128	356	2404
129	356	2388
130	357	2372
131	358	2357
132	359	2343
133	360	2329
134	361	2316
135	362	2302
136	365	2305
137	373	2329
138	376	2332
139	379	2331
140	382	2330
141	384	2320
142	385	2312
143	387	2304
144	389	2296
145	391	2290
146	393	2282
147	395	2274
148	396	2266
149	398	2257
150	399	2248
151	401	2237
152	402	2227
153	403	2217
154	404	2206
155	406	2199
156	408	2192
157	409	2183
158	410	2172
159	411	2161
160	412	2149
161	413	2139
162	414	2128
163	415	2118
164	416	2107
165	417	2097
166	418	2087
167	419	2077
168	420	2069
169	429	2099
170	432	2095
171	433	2087
172	435	2080
173	437	2076
174	439	2070
175	440	2063
176	441	2055
177	443	2046
178	444	2037
179	445	2029
180	447	2022
181	448	2014
182	449	2005
183	450	1997
184	457	2016
185	458	2007
186	459	1998
187	460	1989
188	461	1980
189	463	1975
190	464	1966
191	465	1958
192	466	1952
193	468	1946
194	469	1938
195	471	1933
196	472	1926
197	473	1918
198	475	1912
199	476	1905
200	477	1897
201	478	1890
202	479	1882
203	481	1877
204	482	1872
205	484	1866
206	485	1860
207	486	1853
208	487	1846
209	489	1839
210	490	1833
211	491	1828
212	493	1822
213	494	1815
214	497	1814
215	498	1809
216	499	1804
217	501	1797
218	502	1791
219	503	1784
220	504	1778
221	505	1771
222	507	1766
223	508	1761
224	510	1759
225	512	1756
226	514	1751
227	515	1746
228	516	1740
229	518	1734
230	519	1728
231	520	1724
232	522	1721
233	524	1715
234	526	1713
235	527	1707
236	528	1702
237	529	1696
238	531	1691
239	532	1686
240	533	1680
241	535	1676
242	536	1672
243	538	1667
244	539	1663
245	541	1659
246	542	1653
247	543	1648
248	544	1643
249	546	1638
250	547	1633
251	548	1628
252	549	1623
253	551	1618
254	552	1614
255	554	1611
256	556	1607
257	557	1603
258	558	1598
259	560	1594
260	561	1590
261	562	1585
262	563	1580
263	565	1575
264	566	1571
265	568	1568
266	570	1565
267	571	1561
268	573	1557
269	574	1552
270	575	1548
271	576	1543
272	578	1539
273	579	1534
274	580	1530
275	581	1526
276	584	1525
277	586	1522
278	587	1518
279	588	1514
280	590	1510
281	591	1505
282	592	1501
283	593	1497
284	594	1492
285	597	1490
286	599	1488
287	600	1485
288	602	1481
289	603	1477
290	604	1473
291	605	1469
292	607	1465
293	608	1460
294	609	1456
295	611	1453
296	613	1453
297	615	1450
298	616	1446
299	618	1442
300	619	1438
301	620	1434
302	622	1431
303	623	1427
304	624	1423
305	626	1421
306	629	1419
307	630	1417
308	632	1413
309	633	1409
310	634	1405
311	635	1402
312	637	1398
313	638	1394
314	639	1390
315	641	1389
316	643	1386
317	645	1383
318	646	1380
319	647	1376
320	648	1372
321	650	1368
322	651	1365
323	652	1361
324	653	1357
325	655	1354
326	657	1352
327	658	1349
328	660	1346
329	661	1343
330	662	1339
331	663	1335
332	665	1332
333	666	1329
334	667	1325
335	668	1321
336	670	1319
337	672	1317
338	674	1315
339	675	1311
340	677	1308
341	678	1304
342	679	1301
343	680	1297
344	681	1294
345	682	1290
346	684	1287
347	686	1285
348	687	1283
349	689	1280
350	690	1276
351	691	1273
352	692	1269
353	693	1266
354	695	1262
355	696	1259
356	697	1255
357	698	1251
358	699	1249
359	701	1247
360	703	1244
361	704	1241
362	705	1238
363	706	1234
364	708	1232
365	709	1228
366	710	1226
367	711	1222
368	713	1219
369	714	1217
370	716	1215
371	718	1212
372	719	1208
373	720	1205
374	721	1202
375	722	1199
376	723	1196
377	725	1193
378	726	1189
379	727	1186
380	729	1185
381	731	1182
382	732	1180
383	733	1177
384	735	1174
385	736	1171
386	738	1168
387	739	1166
388	740	1163
389	741	1160
390	744	1159
391	745	1156
392	747	1154
393	748	1151
394	749	1147
395	750	1144
396	751	1141
397	752	1138
398	753	1135
399	754	1132
400	755	1129
401	757	1126
402	758	1124
403	760	1121
404	761	1119
405	762	1116
406	764	1113
407	765	1110
408	766	1107
409	767	1104
410	768	1101
411	769	1098
412	770	1095
413	772	1093
414	774	1091
415	775	1088
416	776	1085
417	777	1082
418	778	1079
419	779	1076
420	780	1074
421	781	1071
422	783	1068
423	784	1065
424	785	1062
425	786	1060
426	788	1057
427	789	1055
428	790	1052
429	792	1049
430	793	1047
431	794	1044
432	795	1041
433	796	1039
434	797	1036
435	798	1033
436	799	1030
437	801	1027
438	802	1025
439	803	1023
440	804	1020
441	806	1017
442	807	1015
443	808	1012
444	809	1010
445	811	1007
446	812	1004
447	813	1002
448	814	999
449	815	997
450	817	994
451	818	992
452	819	989
453	820	987
454	822	984
455	823	982
456	824	979
457	825	977
458	827	974
459	828	972
460	829	969
461	830	967
462	832	965
463	833	962
464	834	960
465	835	957
466	836	955
467	838	952
468	839	950
469	840	947
470	841	945
471	842	942
472	843	940
473	844	937
474	846	935
475	847	933
476	848	930
477	849	928
478	851	925
479	852	923
480	853	920
481	854	918
482	855	915
483	856	913
484	858	911
485	859	908
486	860	906
487	861	904
488	863	902
489	864	899
490	865	897
491	867	895
492	868	893
493	869	891
494	871	888
495	872	886
496	873	884
497	875	882
498	877	880
499	878	878
500	879	876
501	880	873
502	882	871
503	883	869
504	884	867
505	885	864
506	887	862
507	888	860
508	889	858
509	891	856
510	894	855
511	895	853
512	896	851
513	898	849
514	901	848
515	902	846
516	904	844
517	907	844
518	908	842
519	913	842
520	914	840
521	915	838
522	916	836
523	918	834
524	919	832
525	921	830
526	922	828
527	923	825
528	925	823
529	926	821
530	927	819
531	928	816
532	929	814
533	930	812
534	931	809
535	932	807
536	934	805
537	935	803
538	936	801
539	938	799
540	939	796
541	940	794
542	941	792
543	942	790
544	943	787
545	944	785
546	945	783
547	947	781
548	948	778
549	949	777
550	951	775
551	952	773
552	953	771
553	955	768
554	956	766
555	957	764
556	958	762
557	959	760
558	960	757
559	961	755
560	962	753
561	964	751
562	965	749
563	967	747
564	968	745
565	969	743
566	970	741
567	971	739
568	973	737
569	974	734
570	975	732
571	976	730
572	977	728
573	979	726
574	980	724
575	981	722
576	983	720
577	984	718
578	985	716
579	986	714
580	988	712
581	989	710
582	990	708
583	992	706
584	994	705
585	995	703
586	996	701
587	997	699
588	998	697
589	1000	695
590	1001	693
591	1002	691
592	1003	689
593	1005	686
594	1006	684
595	1007	682
596	1008	681
597	1010	679
598	1012	677
599	1013	675
600	1014	673
601	1015	671
602	1016	669
603	1017	667
604	1018	665
605	1019	663
606	1021	661
607	1022	659
608	1023	657
609	1025	655
610	1026	653
611	1028	651
612	1029	649
613	1030	647
614	1031	645
615	1032	643
616	1034	642
617	1035	639
618	1036	638
619	1037	636
620	1039	634
621	1042	633
622	1044	631
623	1046	630
624	1047	628
625	1049	627
626	1050	625
627	1052	623
628	1055	622
629	1057	621
630	1058	619
631	1060	617
632	1061	615
633	1063	613
634	1064	611
635	1065	609
636	1067	608
637	1069	606
638	1071	605
639	1072	603
640	1073	601
641	1075	599
642	1076	597
643	1077	595
644	1079	593
645	1080	592
646	1082	590
647	1084	588
648	1085	587
649	1087	585
650	1088	583
651	1089	581
652	1091	579
653	1092	578
654	1094	576
655	1095	574
656	1098	573
657	1101	572
658	1102	570
659	1104	569
660	1106	567
661	1109	566
662	1110	564
663	1113	563
664	1115	561
665	1116	560
666	1118	558
667	1119	556
668	1121	554
669	1122	552
670	1124	551
671	1125	549
672	1127	547
673	1129	546
674	1131	544
675	1132	542
676	1134	541
677	1135	539
678	1137	537
679	1139	536
680	1142	535
681	1144	533
682	1150	533
683	1151	532
684	1153	530
685	1155	529
686	1158	527
687	1160	526
688	1161	524
689	1162	522
690	1164	520
691	1165	518
692	1166	516
693	1168	515
694	1169	513
695	1173	512
696	1174	510
697	1176	509
698	1177	507
699	1179	505
700	1180	503
701	1181	501
702	1183	499
703	1184	498
704	1187	496
705	1188	495
706	1190	493
707	1191	491
708	1192	489
709	1194	487
710	1195	485
711	1196	483
712	1197	482
713	1199	480
714	1201	478
715	1203	477
716	1205	475
717	1206	473
718	1207	471
719	1209	470
720	1218	471
721	1221	470
722	1224	469
723	1226	467
724	1228	465
725	1230	464
726	1233	463
727	1235	461
728	1236	459
729	1238	457
730	1239	456
731	1241	454
732	1242	452
733	1243	450
734	1246	449
735	1248	447
736	1250	446
737	1251	444
738	1253	442
739	1254	440
740	1256	439
741	1257	437
742	1258	435
743	1260	433
744	1262	432
745	1264	430
746	1266	429
747	1268	427
748	1269	425
749	1271	423
750	1272	421
751	1275	420
752	1277	418
753	1279	417
754	1280	415
755	1283	414
756	1284	412
757	1286	410
758	1288	409
759	1290	407
760	1291	405
761	1293	403
762	1294	402
763	1295	400
764	1297	398
765	1299	396
766	1300	395
767	1302	393
768	1303	391
769	1305	390
770	1307	388
771	1310	386
772	1313	385
773	1316	384
774	1317	382
775	1321	381
776	1323	379
777	1325	378
778	1326	376
779	1327	374
780	1328	372
781	1330	370
782	1331	369
783	1334	367
784	1335	365
785	1336	363
786	1337	362
787	1339	360
788	1340	358
789	1341	356
790	1343	354
791	1345	353
792	1346	351
793	1349	349
794	1350	348
795	1352	346
796	1353	344
797	1354	342
798	1356	341
799	1357	339
800	1359	337
801	1360	335
802	1361	334
803	1363	332
804	1365	330
805	1367	329
806	1368	327
807	1369	325
808	1370	323
809	1371	321
810	1372	319
811	1374	318
812	1375	316
813	1376	314
814	1379	313
815	1381	311
816	1382	309
817	1383	307
818	1385	306
819	1386	304
820	1387	302
821	1388	300
822	1390	298
823	1391	297
824	1393	295
825	1396	294
826	1397	292
827	1398	290
828	1399	288
829	1401	286
830	1402	285
831	1403	283
832	1404	281
833	1405	279
834	1407	278
835	1409	276
836	1411	274
837	1412	273
838	1413	271
839	1415	269
840	1416	267
841	1418	266
842	1419	264
843	1420	262
844	1422	260
845	1424	259
846	1425	257
847	1426	255
848	1428	254
849	1429	252
850	1430	250
851	1431	248
852	1433	246
853	1434	245
854	1435	243
855	1437	241
856	1439	240
857	1440	238
858	1442	236
859	1443	234
860	1444	233
861	1445	231
862	1447	229
863	1448	227
864	1449	226
865	1451	224
866	1453	222
867	1454	221
868	1456	219
869	1457	217
870	1458	216
871	1459	214
872	1460	212
873	1461	210
874	1462	208
875	1464	207
876	1465	205
877	1467	203
878	1469	202
879	1470	200
880	1471	198
881	1472	197
882	1473	195
883	1474	193
884	1476	191
885	1477	190
886	1478	188
887	1479	186
888	1481	184
889	1483	183
890	1484	181
891	1485	179
892	1486	178
893	1488	176
894	1489	174
895	1490	172
896	1491	171
897	1492	169
898	1493	167
899	1494	166
900	1496	164
901	1498	162
902	1499	161
903	1500	159
904	1501	157
905	1502	155
906	1503	154
907	1504	152
908	1506	150
909	1507	149
910	1508	147
911	1509	145
912	1511	143
913	1512	142
914	1513	140
915	1515	138
916	1516	137
917	1517	135
918	1518	133
919	1519	132
920	1520	130
921	1522	128
922	1523	127
923	1524	125
924	1525	123
925	1527	122
926	1528	120
927	1529	118
928	1530	116
929	1531	115
930	1532	113
931	1533	111
932	1535	110
933	1536	108
934	1537	106
935	1538	105
936	1540	103
937	1541	101
938	1543	100
939	1544	98
940	1545	96
941	1546	95
942	1547	93
943	1548	91
944	1549	90
945	1551	88
946	1552	86
947	1553	85
948	1556	83
949	1558	82
950	1559	80
951	1560	78
952	1561	77
953	1563	75
954	1564	73
955	1565	72
956	1566	70
957	1567	68
958	1569	67
959	1571	65
960	1572	63
961	1573	62
962	1574	60
963	1575	58
964	1577	57
965	1578	55
966	1579	53
967	1580	52
968	1581	50
969	1583	48
970	1585	47
971	1586	45
972	1587	44
973	1588	42
974	1589	40
975	1590	39
976	1592	37
977	1593	35
978	1594	34
979	1595	32
980	1596	30
981	1599	29
982	1600	27
983	1601	26
984	1603	24
985	1604	22
986	1605	21
987	1606	19
988	1608	17
989	1609	16
990	1610	14
991	1612	13
992	1615	11
993	1616	9
994	1617	8
995	1618	6
996	1620	4
997	1621	3
998	1622	1
999	1623	0
